"prID","poetID","regionID"
369,113,57
23,187,10
340,106,100
321,534,110
22,288,30
45,190,110
81,99,16
53,311,76
80,138,30
21,90,56
26,162,49
27,246,25
381,327,112
377,96,83
3782,231,100
31,216,79
32,289,31
339,487,131
34,214,108
35,277,26
36,229,83
89,519,141
38,205,73
52,221,16
279,194,25
41,17,109
42,253,94
3330,318,36
373,178,150
374,532,110
47,245,18
51,145,111
50,175,18
54,325,112
55,474,8
56,494,113
57,496,64
1274,95,308
59,499,116
1868,500,630
61,77,118
3204,4442,83
63,503,120
64,504,121
65,509,122
66,512,123
67,514,124
68,516,125
69,517,127
70,518,128
3379,520,970
73,525,133
74,526,133
75,527,39
77,240,134
78,524,136
79,433,26
82,94,16
416,574,210
84,48,110
85,110,110
86,137,30
1869,506,631
88,218,140
90,429,26
91,65,142
92,212,76
93,93,144
94,22,48
95,32,18
96,225,64
97,224,64
98,201,70
3329,298,798
100,154,83
101,319,64
104,119,70
103,166,147
105,210,110
106,39,10
107,357,149
108,239,88
165,259,99
112,183,10
111,186,150
113,521,131
3218,16,1124
115,195,66
116,191,64
117,15,79
118,14,79
119,242,10
153,508,63
121,173,57
122,475,8
123,61,48
124,13,79
603,751,268
126,169,10
127,37,10
128,38,10
129,274,64
130,88,48
1795,1983,4
132,136,132
429,587,215
646,789,48
135,254,16
136,233,39
137,248,88
255,263,110
139,146,39
140,293,34
141,472,154
142,396,156
143,132,157
542,693,150
145,292,33
2737,510,1096
2738,511,1096
1870,505,632
149,133,120
1272,629,403
151,236,38
152,174,160
3243,188,64
655,798,16
156,172,56
157,150,43
158,469,79
160,284,28
161,295,35
162,249,92
314,81,181
164,157,48
166,513,84
167,163,110
438,589,124
337,6,189
2617,207,110
171,232,64
1818,268,10
3253,200,64
174,197,64
345,206,64
343,131,25
341,344,39
178,302,84
179,257,97
180,294,33
181,290,25
182,208,74
183,189,63
184,523,132
3251,235,72
186,176,18
187,147,41
188,204,62
3252,310,83
190,151,50
191,345,63
192,244,18
2833,247,1076
1841,28,25
195,227,108
196,230,84
197,386,62
1019,1191,48
199,258,26
200,161,110
201,24,48
202,149,122
1862,250,627
3179,4096,93
205,105,31
206,97,31
207,171,55
208,70,163
209,109,10
210,255,110
211,243,10
212,209,110
213,211,75
214,128,30
215,291,32
216,203,72
217,217,80
1288,1445,64
219,139,30
220,82,72
221,127,110
3269,467,58
223,47,165
224,522,50
225,134,57
226,116,31
227,130,57
228,165,50
229,27,16
230,228,110
231,79,167
232,222,132
233,177,18
234,238,25
235,507,39
236,62,154
237,198,68
300,407,58
239,256,95
240,148,168
241,390,168
242,389,168
243,125,146
244,199,10
245,140,36
283,85,25
4059,6091,10
1863,251,627
1864,252,627
250,215,18
251,304,36
254,308,88
253,112,48
256,101,34
3141,4001,10
258,312,64
259,86,30
1297,1453,171
261,30,41
262,67,58
263,122,110
264,196,67
282,279,27
3158,213,173
267,313,87
268,306,46
975,1147,93
270,234,4
271,87,92
272,29,41
273,237,87
274,278,26
275,220,56
276,44,171
649,792,48
278,63,110
280,168,48
3162,12,10
285,383,10
286,365,10
3365,460,108
288,481,133
289,309,175
290,123,166
291,493,16
292,323,176
293,301,113
3295,332,1144
295,330,177
296,331,178
297,272,18
298,418,10
299,42,48
301,498,113
302,241,110
303,410,10
1158,1331,110
305,446,68
3122,490,25
307,264,167
3074,305,247
309,66,179
310,91,31
311,60,180
312,276,27
313,68,119
315,52,183
316,528,110
390,434,99
319,531,110
320,155,184
322,533,185
323,536,110
324,537,110
325,538,133
326,539,79
327,46,176
328,285,28
329,450,186
330,540,187
331,541,188
332,543,48
333,435,99
334,108,4
335,445,68
336,275,27
5707,7357,64
342,480,25
344,19,25
346,456,144
347,100,43
348,104,48
349,454,97
1275,118,308
352,111,146
353,185,187
355,74,10
3294,55,193
357,89,194
359,59,195
1287,11,140
361,297,196
362,515,124
363,338,38
5706,8,50
365,124,70
3386,80,1159
367,135,199
368,5,31
370,126,57
371,98,200
372,167,18
3478,43,628
376,158,150
3327,397,26
379,170,176
382,72,110
383,356,140
384,409,25
385,400,68
2578,455,144
387,452,132
388,339,202
389,529,110
391,547,108
392,549,204
1277,580,308
394,552,205
395,553,206
396,554,31
3210,555,10
398,556,39
399,558,206
445,535,110
401,559,66
402,560,10
403,561,25
404,562,207
405,563,2
406,564,39
407,565,208
408,566,122
409,567,48
410,569,48
411,568,110
412,570,48
413,571,84
414,572,209
415,573,137
417,575,10
1966,576,18
419,577,212
420,578,58
421,579,213
1289,1446,206
423,581,18
424,582,214
425,583,141
426,584,153
427,585,153
428,586,153
433,432,26
3382,545,1157
3390,550,1155
434,430,26
435,431,26
436,588,217
437,299,197
444,557,75
440,591,173
441,592,187
442,593,25
443,594,218
446,596,219
3661,4651,64
448,598,221
449,599,124
450,600,60
451,601,222
452,602,128
453,603,27
454,604,110
455,605,132
456,606,220
457,607,223
458,608,217
459,609,43
460,610,43
461,611,150
462,612,154
463,613,224
464,614,225
465,615,60
466,616,226
467,618,93
468,619,149
469,617,228
470,620,149
471,621,229
472,622,230
473,623,124
474,624,231
475,625,217
476,626,10
477,627,110
478,628,232
1273,497,308
480,630,79
481,631,233
482,632,68
483,633,76
484,634,206
485,635,113
486,636,68
487,637,39
489,639,64
490,640,234
491,641,165
492,642,235
493,643,196
495,644,39
496,645,110
497,646,173
1278,647,308
499,648,110
500,650,48
501,649,97
502,652,18
1790,653,4
504,654,133
505,655,110
506,656,25
507,657,167
596,658,173
509,659,165
510,660,206
511,662,25
512,663,10
515,665,176
1279,664,308
516,666,128
597,747,66
518,667,39
519,669,39
520,670,133
521,671,239
522,672,240
2950,673,48
524,675,50
525,674,50
526,676,50
527,677,192
528,678,241
529,679,110
530,680,132
531,681,113
532,682,189
533,683,10
534,684,50
535,685,50
536,686,58
537,687,18
538,688,25
539,689,48
540,690,50
541,691,58
543,692,242
544,694,63
546,696,128
1320,1068,191
548,698,58
549,699,132
550,700,244
551,701,245
552,702,246
553,703,247
554,704,248
555,705,72
556,706,223
557,707,93
558,708,249
559,709,250
560,710,132
3266,711,49
562,712,252
563,713,253
564,714,254
1280,715,308
566,716,72
567,717,255
568,718,256
569,719,201
570,720,258
571,721,259
572,722,260
573,723,113
574,724,18
575,725,206
576,726,261
577,728,262
578,729,39
579,730,121
580,727,72
581,731,76
582,732,263
583,733,25
1791,734,4
585,735,16
586,736,192
587,737,133
588,738,83
589,740,264
590,741,265
1816,742,229
592,743,217
593,744,206
594,745,124
1281,746,308
1792,748,4
601,749,267
602,750,152
604,752,79
605,753,217
606,754,206
607,755,206
1282,756,308
609,757,269
611,758,225
612,759,50
613,760,270
614,761,25
615,762,271
617,763,70
618,764,225
619,765,225
620,766,273
621,767,274
622,768,218
623,769,48
624,770,235
625,771,122
626,772,176
627,773,64
628,774,275
629,775,245
630,776,165
631,777,256
632,778,39
633,779,58
634,780,167
637,783,141
638,784,217
639,785,50
640,786,276
3124,374,10
642,20,25
643,26,48
644,788,48
645,78,178
647,790,113
648,791,277
650,793,147
651,794,50
652,795,89
653,796,93
654,797,192
656,799,25
657,800,25
658,801,133
659,802,279
660,803,280
661,804,75
662,805,25
663,807,122
664,808,217
665,809,281
666,810,141
667,812,70
668,813,50
669,814,58
670,815,208
671,816,282
672,817,283
673,818,224
674,819,121
675,820,121
676,821,25
677,822,18
678,823,284
679,824,121
680,825,88
681,826,285
682,827,286
683,828,201
684,830,287
685,829,113
686,831,288
1283,832,308
688,833,208
689,834,124
690,835,289
691,836,290
692,837,291
693,838,58
694,839,122
695,840,93
1284,841,308
697,842,121
698,843,292
699,844,58
700,845,293
701,846,132
702,847,83
703,848,39
704,849,110
705,850,224
706,851,16
707,852,113
708,853,141
709,854,25
710,856,255
711,857,66
712,858,66
713,859,39
714,860,39
715,861,294
716,862,48
717,863,141
718,864,295
719,865,295
720,866,16
721,867,25
722,868,296
723,869,247
724,870,66
725,871,297
726,872,197
727,873,60
728,874,298
729,875,197
730,876,299
731,878,301
732,879,39
733,880,48
734,881,302
735,882,303
736,883,275
737,884,275
