"ppgID","poemID","pageID"
11656,7009,6040
11655,7009,6039
11654,7009,6038
27,6,31
30,7,33
33,6,32
34,8,32
35,8,34
36,9,34
37,9,35
38,10,35
39,11,36
40,11,37
41,12,37
42,12,38
43,13,38
1174,3306,509
45,14,40
46,14,41
47,14,42
48,15,42
49,16,42
50,16,43
51,16,44
52,17,44
53,17,45
54,18,45
55,18,46
56,18,47
57,2002,48
58,2002,50
59,2002,51
60,2002,52
3598,4713,55
3601,4721,1744
3599,4713,56
3597,4713,54
65,2004,57
66,2004,58
68,2005,59
69,2005,60
70,2006,61
72,2008,61
73,2009,61
74,2009,62
75,2010,62
76,2011,62
77,2012,62
78,2012,63
79,2013,63
80,2013,64
81,2014,64
82,2015,64
83,2016,64
84,2016,65
85,2017,65
86,2018,65
87,2018,66
88,2019,66
89,2020,66
90,2021,66
91,2021,67
92,2022,67
93,2023,67
94,2024,67
95,2024,68
96,2025,68
97,2026,68
98,2027,68
99,2027,69
100,2028,69
101,2029,69
102,2030,69
103,2030,70
104,2031,70
105,2032,70
2951,2033,1448
83599,53218,1448
83608,53224,71
83615,53228,74
83605,53222,71
83604,53221,71
83612,53226,73
83611,53226,72
83610,53225,72
83614,53228,73
83613,53227,73
83617,53230,74
83616,53229,74
83624,53235,76
83623,53235,75
83622,53234,75
83621,53233,75
83628,53238,77
83627,53238,76
83626,53237,76
83625,53236,76
83631,53241,77
83630,53240,77
83629,53239,77
130,2050,78
131,2051,78
83633,53243,78
83632,53242,78
83640,53249,80
83639,53248,80
83646,53254,81
83645,53253,81
138,2055,82
139,2056,82
140,2057,82
141,2057,83
142,2058,83
143,2059,83
144,2060,83
145,2060,84
146,2061,84
147,2062,84
148,2063,84
149,2064,84
150,2064,85
151,2065,85
152,2066,85
153,2067,85
154,2068,86
155,2069,86
156,2070,86
157,2071,87
158,2072,87
83647,53255,87
83651,53258,88
83650,53257,88
162,2075,89
163,2076,89
164,2077,89
165,2078,90
166,2079,90
167,2080,90
168,2097,91
169,2098,91
170,2099,91
171,2099,92
172,2100,92
173,2101,92
174,2115,92
175,2116,93
83653,53260,93
83662,53265,96
83655,53261,94
83663,53266,96
83661,53264,96
188,2123,97
189,2124,97
190,2125,97
191,2126,97
192,2126,98
193,2127,98
83665,53268,98
83664,53267,98
83669,53271,99
83668,53270,99
83673,53274,100
83672,53273,100
200,2131,101
83675,53276,101
83680,53280,102
83687,53286,103
83686,53285,103
83685,53284,103
83692,53289,105
83691,53289,104
83690,53288,104
83689,53287,104
83695,53292,105
83694,53291,105
83693,53290,105
83700,53295,107
83699,53295,106
83698,53294,106
83697,53293,106
83703,53297,108
83702,53297,107
83701,53296,107
83708,53302,109
83704,53298,108
83705,53299,108
83706,53300,108
224,2147,109
83707,53301,109
226,2148,110
83709,53303,110
83715,53308,111
83714,53307,111
83734,53322,120
83720,53311,115
83723,53313,116
83721,53312,115
83722,53313,115
83727,53315,118
83726,53315,117
83725,53314,117
83730,53318,118
83729,53317,118
83728,53316,118
253,2162,119
254,2163,119
255,2164,119
83731,53319,120
83732,53320,120
83733,53321,120
83739,53325,122
83736,53323,121
83737,53324,121
83738,53325,121
83743,53328,123
83740,53326,122
83741,53327,122
83742,53328,122
83747,53331,124
83746,53331,123
83745,53330,123
83744,53329,123
2954,2175,1449
83752,53334,125
83750,53334,124
83749,53333,124
83757,53338,139
83755,53337,125
83754,53336,125
83753,53335,125
279,2182,126
280,2183,126
281,2184,126
282,2185,126
283,2185,127
284,2186,127
285,2187,127
286,2188,127
287,2188,128
288,2189,128
289,2190,128
290,2191,128
291,2191,129
292,2192,129
293,2193,129
294,2194,129
295,2194,130
296,2195,130
297,2196,130
298,2197,130
299,2197,131
300,2198,131
301,2199,131
302,2199,132
303,2200,133
304,2204,133
305,2205,133
306,2205,134
307,2206,134
308,2207,134
309,2208,134
310,2208,135
312,2449,135
314,2450,135
315,2451,135
316,2451,136
317,2452,136
318,2453,136
319,2454,136
320,2454,137
321,2455,137
322,2456,137
323,2457,137
324,2457,138
325,2458,138
326,2459,138
83756,53338,138
83758,53339,139
83759,53340,139
83760,53341,139
331,2463,140
332,2464,140
333,2465,140
334,2466,141
335,2467,141
336,2468,141
8263,6302,4064
83761,53342,141
83767,53346,143
83765,53345,142
83764,53344,142
83766,53346,142
83770,53349,143
83769,53348,143
83768,53347,143
83774,53352,144
83773,53351,144
83772,53350,144
349,2478,145
350,2479,145
351,2480,145
352,2481,146
353,2482,146
354,2483,146
355,2484,147
83775,53353,147
357,2486,148
