"regionID","parentRegionID","regionHZ","regionPY","VariantName","PresentdayEquivalent","PresentdayEquivalentPY"
1,0,"廣東(清)","Guangdong","","",""
2,1,"順德","Shunde","","廣東順德","Guangdong Shunde"
3,0,"江蘇(清)","Jiangsu","","",""
4,3,"青浦","Qingpu","","上海青浦","Shanghai Qingpu"
26,20,"侯官","Houguan","","福建閩侯","Fujian Minhou"
8,126,"平江","Pingjiang","","湖南平江","Hunan Pingjiang"
10,44,"仁和","Renhe","","浙江杭州","Zhejiang Hangzhou"
170,135,"九江","Jiujiang","","江西九江","Jiangxi Jiujiang"
16,3,"丹徒","Dantu","","江蘇丹徒","Jiangsu Dantu"
18,3,"常熟","Changshu","","江蘇常熟","Jiangsu Changshu"
19,20,"福州","Fuzhou","","福建福州","Fujian Fuzhou"
20,0,"福建(清)","Fujian","","",""
25,3,"吳縣","Wu Xian","","江蘇吳縣","Jiangsu Wu Xian"
27,20,"長樂","Changle","","福建長樂","Fujian Changle"
28,3,"松江","Songjiang","","上海松江","Shanghai Songjiang"
30,135,"德化","Dehua","","江西九江","Jiangxi Jiujiang"
31,135,"奉新","Fengxin","","江西奉新","Jiangxi Fengxin"
32,135,"南豐","Nanfeng","","江西南豐","Jiangxi Nanfeng"
33,135,"彭澤","Pengze","","江西彭澤","Jiangxi  Pengze"
34,135,"湖口","Hukou","","江西湖口","Jiangxi Hukou"
35,135,"瑞昌","Ruichang","","江西瑞昌","Jiangxi Ruichang"
36,44,"永康","Yongkang","","浙江永康","Zhejiang Yongkang"
38,126,"寧鄉","Ningxiang","","湖南寧鄉","Hunan Ningxiang"
39,3,"華亭","Huating","","上海松江","Shanghai Songjiang"
41,3,"虞山","Yushan","","江蘇常熟","Jiangsu Changshu"
42,0,"山東(清)","Shandong","","",""
43,42,"曲阜","Qufu","","山東曲阜","Shandong Qufu"
44,0,"浙江(清)","Zhejiang","","",""
45,42,"濟南","Ji'nan","","山東濟南","Shandong Ji'nan"
46,91,"南陵","Nanling","","安徽南陵","Anhui Nanling"
48,3,"長洲","Changzhou","","江蘇蘇州","Jiangsu Suzhou"
49,135,"新建","Xinjian","","江西新建","Jiangxi Xinjian"
50,44,"山陰","Shanyin","","浙江紹興","Zhejiang Shaoxing"
149,3,"金壇","Jintan","","江蘇金壇","Jiangsu Jintan"
55,3,"淮陰","Huaiyin","","江蘇淮陰","Jiangsu Huaiyin"
56,3,"甘泉","Ganquan","","江蘇揚州","Jiangsu Yangzhou"
57,126,"湘潭","Xiangtan","","湖南湘潭","Hunan Xiangtan"
58,91,"桐城","Tongcheng","","安徽桐城","Anhui Tongcheng"
637,0,"大理(南宋)","Dali","","",""
60,44,"嘉善","Jiashan","","浙江嘉善","Zhejiang Jiashan"
62,3,"毘陵","Piling","","江蘇常州","Jiangsu Changzhou"
63,44,"秀水","Xiushui","","浙江嘉興","Zhejiang Jiaxing"
64,3,"陽湖","Yanghu","","江蘇常州","Jiangsu Changzhou"
66,3,"上海","Shanghai","","上海上海","Shanghai Shanghai"
67,135,"高安","Gaoan","","江西高安","Jiangxi Gaoan"
68,1,"南海","Nanhai","","廣東廣州","Guangdong Guangzhou"
70,3,"元和","Yuanhe","","江蘇蘇州","Jiangsu Suzhou"
72,3,"武進","Wujin","","江蘇常州","Jiangsu Changzhou"
73,44,"湖州","Huzhou","","浙江湖州","Zhejiang Huzhou"
74,3,"溧水","Lishui","","江蘇溧水","Jiangsu Lishui"
75,44,"歸安","Guian","","浙江湖州","Zhejiang Huzhou"
76,44,"海鹽","Haiyan","","浙江海鹽","Zhejiang Haiyan"
432,126,"攸縣","You Xian","","湖南攸縣","Hunan You Xian"
79,3,"泰州","Taizhou","","江蘇泰州","Jiangsu Taizhou"
80,135,"新城","Xincheng","","江西黎川","Jiangxi Lichuan"
141,3,"崑山","Kunshan","","江蘇崑山","Jiangsu Kunshan"
83,3,"金匱","Jingui","","江蘇無錫","Jiangsu Wuxi"
84,44,"會稽","Kuaiji","","浙江紹興","Zhejiang Shaoxing"
87,44,"海昌","Haichang","","浙江海寧","Zhejiang Haining"
88,44,"德清","Deqing","","浙江德清","Zhejiang Deqing"
89,135,"吉水","Jishui","","江西吉水","Jiangxi Jishui"
90,0,"臨梅","Linmei","","",""
91,0,"安徽(清)","Anhui","","",""
92,91,"合肥","Hefei","","安徽合肥","Anhui Hefei"
93,3,"吳江","Wujiang","","江蘇吳江","Jiangsu Wujiang"
94,3,"丹陽","Danyang","","江蘇丹陽","Jiangsu Danyang"
95,1,"瓊山","Qiongshan","","海南瓊山","Hainan Qiongshan"
97,3,"江陰","Jiangyin","","江蘇江陰","Jiangsu Jiangyin"
99,20,"閩縣","Min Xian","","福建福州","Fujian Fuzhou"
100,3,"句容","Jurong","","江蘇句容","Jiangsu Jurong"
102,0,"新吳","Xinwu","","",""
103,3,"東海","Donghai","","江蘇東海","Jiangsu Donghai"
108,3,"儀徵","Yizheng","","江蘇儀徵","Jiangsu Yizheng"
109,3,"真州","Zhenzhou","","江蘇儀徵","Jiangsu Yizheng"
110,44,"錢塘","Qiantang","","浙江杭州","Zhejiang Hangzhou"
111,257,"長白","Changbai","","吉林長白","Jilin Changbai"
112,91,"定遠","Dingyuan","","安徽定遠","Anhui Dingyuan"
113,113,"長白","Changbai","","",""
414,1,"嘉應","Jiaying","","廣東梅州","Guangdong Meizhou"
115,0,"直隸(清)","Zhili","","",""
116,115,"博野","boye","","河北博野","Hebei Boye"
117,44,"鎮海","Zhenhai","","浙江鎮海","Zhejiang Zhenhai"
118,3,"震澤","Zhenze","","江蘇吳江","Jiangsu Wujiang"
119,1,"陽山","Yangshan","","廣東陽山","Guangdong Yangshan"
120,3,"上元","Shangyuan","","江蘇南京","Jiangsu Nanjing"
121,44,"烏程","Wucheng","","浙江湖州","Zhejiang Huzhou"
122,44,"桐鄉","Tongxiang","","浙江桐鄉","Zhejiang Tongxiang"
123,44,"義烏","Yiwu","","浙江義烏","Zhejiang Yiwu"
124,20,"莆田","Putian","","福建莆田","Fujian Putian"
125,126,"耒陽","Leiyang","","湖南耒陽","Hunan Leiyang"
126,0,"湖南(清)","Hunan","","",""
127,42,"武城","Wucheng","","山東武城","Shandong Wucheng"
