"cycleID","Dynasty","MinorDynasty","StemBranch","Year","YearXF"
1,"明","","戊申","洪武元年",1368
2,"明","","己酉","二年",1369
3,"明","","庚戌","三年",1370
4,"明","","辛亥","四年",1371
5,"明","","壬子","五年",1372
6,"明","","癸丑","六年",1373
7,"明","","甲寅","七年",1374
8,"明","","乙卯","八年",1375
9,"明","","丙辰","九年",1376
10,"明","","丁巳","十年",1377
11,"明","","戊午","十一年",1378
12,"明","","己未","十二年",1379
13,"明","","庚申","十三年",1380
14,"明","","辛酉","十四年",1381
15,"明","","壬戌","十五年",1382
16,"明","","癸亥","十六年",1383
17,"明","","甲子","十七年",1384
18,"明","","乙丑","十八年",1385
19,"明","","丙寅","十九年",1386
20,"明","","丁卯","二十年",1387
21,"明","","戊辰","二十一年",1388
22,"明","","己巳","二十二年",1389
23,"明","","庚午","二十三年",1390
24,"明","","辛未","二十四年",1391
25,"明","","壬申","二十五年",1392
26,"明","","癸酉","二十六年",1393
27,"明","","甲戌","二十七年",1394
28,"明","","乙亥","二十八年",1395
29,"明","","丙子","二十九年",1396
30,"明","","丁丑","三十年",1397
31,"明","","戊寅","三十一年",1398
32,"明","","己卯","建文元年",1399
33,"明","","庚辰","二年",1400
34,"明","","辛巳","三年",1401
35,"明","","壬午","四年",1402
36,"明","","癸未","永乐元年",1403
37,"明","","甲申","二年",1404
38,"明","","乙酉","三年",1405
39,"明","","丙戌","四年",1406
40,"明","","丁亥","五年",1407
41,"明","","戊子","六年",1408
42,"明","","己丑","七年",1409
43,"明","","庚寅","八年",1410
44,"明","","辛卯","九年",1411
45,"明","","壬辰","十年",1412
46,"明","","癸巳","十一年",1413
47,"明","","甲午","十二年",1414
48,"明","","乙未","十三年",1415
49,"明","","丙申","十四年",1416
50,"明","","丁酉","十五年",1417
51,"明","","戊戌","十六年",1418
52,"明","","乙亥","十七年",1419
53,"明","","庚子","十八年",1420
54,"明","","辛丑","十九年",1421
55,"明","","壬寅","二十年",1422
56,"明","","癸卯","二十一年",1423
57,"明","","甲辰","二十二年",1424
58,"明","","乙巳","洪熙元年",1425
59,"明","","丙午","宣德元年",1426
60,"明","","丁未","二年",1427
61,"明","","戊申","三年",1428
62,"明","","己酉","四年",1429
63,"明","","庚戌","五年",1430
64,"明","","辛亥","六年",1431
65,"明","","壬子","七年",1432
66,"明","","癸丑","八年",1433
67,"明","","甲寅","九年",1434
68,"明","","乙卯","十年",1435
69,"明","","丙辰","正统元年",1436
70,"明","","丁巳","二年",1437
71,"明","","戊午","三年",1438
72,"明","","己未","四年",1439
73,"明","","庚申","五年",1440
74,"明","","辛酉","六年",1441
75,"明","","壬戌","七年",1442
76,"明","","癸亥","八年",1443
77,"明","","甲子","九年",1444
78,"明","","乙丑","十年",1445
79,"明","","丙寅","十一年",1446
80,"明","","丁卯","十二年",1447
81,"明","","戊辰","十三年",1448
82,"明","","己巳","十四年",1449
83,"明","","庚午","景泰元年",1450
84,"明","","辛未","二年",1451
85,"明","","壬申","三年",1452
86,"明","","癸酉","四年",1453
87,"明","","甲戌","五年",1454
88,"明","","乙亥","六年",1455
89,"明","","丙子","七年",1456
90,"明","","丁丑","天顺元年",1457
91,"明","","戊寅","二年",1458
92,"明","","己卯","三年",1459
93,"明","","庚辰","四年",1460
94,"明","","辛巳","五年",1461
95,"明","","壬午","六年",1462
96,"明","","癸未","七年",1463
97,"明","","甲申","八年",1464
98,"明","","乙酉","成化元年",1465
99,"明","","丙戌","二年",1466
100,"明","","丁亥","三年",1467
101,"明","","戊子","四年",1468
102,"明","","己丑","五年",1469
103,"明","","庚寅","六年",1470
104,"明","","辛卯","七年",1471
105,"明","","壬辰","八年",1472
106,"明","","癸巳","九年",1473
107,"明","","甲午","十年",1474
108,"明","","乙未","十一年",1475
109,"明","","丙申","十二年",1476
110,"明","","丁酉","十三年",1477
111,"明","","戊戌","十四年",1478
112,"明","","乙亥","十五年",1479
113,"明","","庚子","十六年",1480
114,"明","","辛丑","十七年",1481
115,"明","","壬寅","十八年",1482
116,"明","","癸卯","十九年",1483
117,"明","","甲辰","二十年",1484
118,"明","","乙巳","二十一年",1485
119,"明","","丙午","二十二年",1486
120,"明","","丁未","二十三年",1487
121,"明","","戊申","弘治元年",1488
122,"明","","己酉","二年",1489
123,"明","","庚戌","三年",1490
124,"明","","辛亥","四年",1491
125,"明","","壬子","五年",1492
126,"明","","癸丑","六年",1493
127,"明","","甲寅","七年",1494
128,"明","","乙卯","八年",1495
129,"明","","丙辰","九年",1496
130,"明","","丁巳","十年",1497
131,"明","","戊午","十一年",1498
132,"明","","己未","十二年",1499
133,"明","","庚申","十三年",1500
134,"明","","辛酉","十四年",1501
135,"明","","壬戌","十五年",1502
136,"明","","癸亥","十六年",1503
137,"明","","甲子","十七年",1504
138,"明","","乙丑","十八年",1505
139,"明","","丙寅","正德元年",1506
140,"明","","丁卯","二年",1507
141,"明","","戊辰","三年",1508
142,"明","","己巳","四年",1509
143,"明","","庚午","五年",1510
144,"明","","辛未","六年",1511
145,"明","","壬申","七年",1512
146,"明","","癸酉","八年",1513
147,"明","","甲戌","九年",1514
148,"明","","乙亥","十年",1515
149,"明","","丙子","十一年",1516
150,"明","","丁丑","十二年",1517
151,"明","","戊寅","十三年",1518
152,"明","","己卯","十四年",1519
153,"明","","庚辰","十五年",1520
154,"明","","辛巳","十六年",1521
155,"明","","壬午","嘉靖元年",1522
156,"明","","癸未","二年",1523
157,"明","","甲申","三年",1524
158,"明","","乙酉","四年",1525
159,"明","","丙戌","五年",1526
160,"明","","丁亥","六年",1527
161,"明","","戊子","七年",1528
162,"明","","己丑","八年",1529
163,"明","","庚寅","九年",1530
164,"明","","辛卯","十年",1531
165,"明","","壬辰","十一年",1532
166,"明","","癸巳","十二年",1533
167,"明","","甲午","十三年",1534
168,"明","","乙未","十四年",1535
169,"明","","丙申","十五年",1536
170,"明","","丁酉","十六年",1537
171,"明","","戊戌","十七年",1538
172,"明","","乙亥","十八年",1539
173,"明","","庚子","十九年",1540
174,"明","","辛丑","二十年",1541
175,"明","","壬寅","二十一年",1542
176,"明","","癸卯","二十二年",1543
177,"明","","甲辰","二十三年",1544
178,"明","","乙巳","二十四年",1545
179,"明","","丙午","二十五年",1546
180,"明","","丁未","二十六年",1547
181,"明","","戊申","二十七年",1548
182,"明","","己酉","二十八年",1549
183,"明","","庚戌","二十九年",1550
184,"明","","辛亥","三十年",1551
185,"明","","壬子","三十一年",1552
186,"明","","癸丑","三十二年",1553
187,"明","","甲寅","三十三年",1554
188,"明","","乙卯","三十四年",1555
189,"明","","丙辰","三十五年",1556
190,"明","","丁巳","三十六年",1557
191,"明","","戊午","三十七年",1558
192,"明","","己未","三十八年",1559
193,"明","","庚申","三十九年",1560
194,"明","","辛酉","四十年",1561
195,"明","","壬戌","四十一年",1562
196,"明","","癸亥","四十二年",1563
197,"明","","甲子","四十三年",1564
198,"明","","乙丑","四十四年",1565
199,"明","","丙寅","四十五年",1566
200,"明","","丁卯","隆庆元年",1567
201,"明","","戊辰","二年",1568
202,"明","","己巳","三年",1569
203,"明","","庚午","四年",1570
204,"明","","辛未","五年",1571
205,"明","","壬申","六年",1572
206,"明","","癸酉","萬歷元年",1573
207,"明","","甲戌","二年",1574
208,"明","","乙亥","三年",1575
209,"明","","丙子","四年",1576
210,"明","","丁丑","五年",1577
211,"明","","戊寅","六年",1578
212,"明","","己卯","七年",1579
213,"明","","庚辰","八年",1580
214,"明","","辛巳","九年",1581
215,"明","","壬午","十年",1582
216,"明","","癸未","十一年",1583
217,"明","","甲申","十二年",1584
218,"明","","乙酉","十三年",1585
219,"明","","丙戌","十四年",1586
220,"明","","丁亥","十五年",1587
221,"明","","戊子","十六年",1588
222,"明","","己丑","十七年",1589
223,"明","","庚寅","十八年",1590
224,"明","","辛卯","十九年",1591
225,"明","","壬辰","二十年",1592
226,"明","","癸巳","二十一年",1593
227,"明","","甲午","二十二年",1594
228,"明","","乙未","二十三年",1595
229,"明","","丙申","二十四年",1596
230,"明","","丁酉","二十五年",1597
231,"明","","戊戌","二十六年",1598
232,"明","","乙亥","二十七年",1599
233,"明","","庚子","二十八年",1600
234,"明","","辛丑","二十九年",1601
235,"明","","壬寅","三十年",1602
236,"明","","癸卯","三十一年",1603
237,"明","","甲辰","三十二年",1604
238,"明","","乙巳","三十三年",1605
239,"明","","丙午","三十四年",1606
240,"明","","丁未","三十五年",1607
241,"明","","戊申","三十六年",1608
242,"明","","己酉","三十七年",1609
243,"明","","庚戌","三十八年",1610
244,"明","","辛亥","三十九年",1611
245,"明","","壬子","四十年",1612
246,"明","","癸丑","四十一年",1613
247,"明","","甲寅","四十二年",1614
248,"明","","乙卯","四十三年",1615
249,"明","","丙辰","四十四年",1616
250,"明","","丁巳","四十五年",1617
251,"明","","戊午","四十六年",1618
252,"明","","己未","四十七年",1619
253,"明","","庚申","四十八年",1620
254,"明","","庚申","泰昌元年",1620
255,"明","","辛酉","天啟元年",1621
256,"明","","壬戌","二年",1622
257,"明","","癸亥","三年",1623
258,"明","","甲子","四年",1624
259,"明","","乙丑","五年",1625
260,"明","","丙寅","六年",1626
261,"明","","丁卯","七年",1627
262,"明","","戊辰","崇祯元年",1628
263,"明","","己巳","二年",1629
264,"明","","庚午","三年",1630
265,"明","","辛未","四年",1631
266,"明","","壬申","五年",1632
267,"明","","癸酉","六年",1633
268,"明","","甲戌","七年",1634
269,"明","","乙亥","八年",1635
270,"明","","丙子","九年",1636
271,"明","","丁丑","十年",1637
272,"明","","戊寅","十一年",1638
273,"明","","己卯","十二年",1639
274,"明","","庚辰","十三年",1640
275,"明","","辛巳","十四年",1641
276,"明","","壬午","十五年",1642
277,"明","","癸未","十六年",1643
278,"明","","甲申","十七年",1644
279,"清","","甲申","順治元年",1644
280,"清","","乙酉","二年",1645
281,"清","","丙戌","三年",1646
282,"清","","丁亥","四年",1647
283,"清","","戊子","五年",1648
284,"清","","己丑","六年",1649
285,"清","","庚寅","七年",1650
286,"清","","辛卯","八年",1651
287,"清","","壬辰","九年",1652
288,"清","","癸巳","十年",1653
289,"清","","甲午","十一年",1654
290,"清","","乙未","十二年",1655
291,"清","","丙申","十三年",1656
292,"清","","丁酉","十四年",1657
293,"清","","戊戌","十五年",1658
294,"清","","己亥","十六年",1659
295,"清","","庚子","十七年",1660
296,"清","","辛丑","十八年",1661
297,"清","","壬寅","康熙元年",1662
298,"清","","癸卯","二年",1663
299,"清","","甲辰","三年",1664
300,"清","","乙巳","四年",1665
301,"清","","丙午","五年",1666
302,"清","","丁未","六年",1667
303,"清","","戊申","七年",1668
304,"清","","己酉","八年",1669
305,"清","","庚戌","九年",1670
306,"清","","辛亥","十年",1671
307,"清","","壬子","十一年",1672
308,"清","","癸丑","十二年",1673
309,"清","","甲寅","十三年",1674
