"swpID","subworkID","poemID"
8268,229,15414
3042,0,6
3050,0,14
12059,216,15834
19,0,2011
20,0,2016
21,0,2017
22,0,2018
23,0,2019
24,0,2020
25,0,2021
26,0,2022
27,0,2023
28,0,2024
29,0,2025
30,0,2026
31,0,2027
32,0,2028
33,0,2029
34,0,2030
35,0,2031
36,0,2032
37,0,2033
38,0,2034
39,0,2035
40,0,2036
41,0,2037
42,0,2038
43,0,2039
44,0,2040
45,0,2041
46,0,2042
47,0,2043
48,0,2044
49,0,2045
50,0,2046
51,0,2047
52,0,2048
53,0,2049
54,0,2050
55,0,2051
56,0,2052
57,0,2053
58,0,2054
59,0,2055
60,0,2056
61,0,2057
62,0,2058
63,0,2059
64,0,2060
65,0,2061
66,0,2062
67,0,2063
68,0,2064
69,0,2065
70,0,2066
71,0,2067
72,0,2068
73,0,2069
74,0,2070
75,0,2071
76,0,2072
77,0,2073
78,0,2074
79,0,2075
80,0,2076
81,0,2077
82,0,2078
83,0,2079
84,0,2080
85,0,2097
86,0,2098
87,0,2099
88,0,2100
89,0,2101
90,0,2115
91,0,2116
12058,216,15833
12057,215,15829
94,0,2120
95,0,2121
96,0,2122
97,0,2123
98,0,2124
99,0,2125
100,0,2126
101,0,2127
102,0,2128
103,0,2129
104,0,2130
105,0,2131
106,0,2132
107,0,2133
108,0,2134
109,0,2135
110,0,2136
111,0,2137
112,0,2138
113,0,2139
114,0,2140
115,0,2141
116,0,2142
117,0,2143
118,0,2144
119,0,2145
120,0,2146
121,0,2147
122,0,2148
123,0,2149
124,0,2150
12056,215,15818
12055,215,15813
12054,215,15812
12053,214,15809
129,0,2155
130,0,2156
131,0,2157
132,0,2158
133,0,2159
134,0,2160
135,0,2161
136,0,2162
137,0,2163
138,0,2164
139,0,2165
140,0,2166
141,0,2167
142,0,2168
143,0,2169
144,0,2170
145,0,2171
146,0,2172
147,0,2173
148,0,2174
1788,0,2175
150,0,2176
151,0,2177
152,0,2178
153,0,2179
154,0,2180
155,0,2181
156,0,2182
157,0,2183
158,0,2184
159,0,2185
160,0,2186
161,0,2187
162,0,2188
163,0,2189
164,0,2190
165,0,2191
166,0,2192
167,0,2193
168,0,2194
169,0,2195
170,0,2196
